"","Ws.0_0hr","Ws.0_2hr.C321A","Ws.0_4hr.C321A","Ws.0_6hr.C321A","Ws.0_8hr.C321A"
"AT4G18960_AG",2.06026554913482,-0.339337855151617,-0.266622600112694,-0.666556501190676,1.33311300201778
"AT5G44420_PDF1.2A",2.37504530016791,-0.596499163020657,-0.0198056360399364,0.493975869209371,0.309433940852354
"AT4G28410_RSA1",NA,NA,NA,NA,NA
"AT5G03840_TFL1",NA,NA,NA,NA,NA
"AT3G27850_RPL12-C",2.58717620032818,-0.118601893946937,-0.44606283852655,-0.44395018727682,0.067839579202203
"AT1G77120_ADH1",-0.613244822667682,-0.403389180147527,-0.613244822667682,-0.613244822667682,-0.319446922635812
"AT1G59860_HSP17.6A-CI",-0.631208386273158,-0.459209561298344,0.422079656027846,0.651411422824739,-1.2651469126089
"AT1G07160_AP2C2",-1.50624602065432,0.0510354882839476,1.04884919533857,0.785631917247756,-1.03801289350361
"AT1G32640_MYC2",-1.00307758352429,1.73246747957522,-0.253266546316047,-0.64215610745591,-0.64215610745591
"AT3G45140_LOX2",-1.03680473857758,0.897981751148499,1.15977000911599,-0.129109003008062,0.25517332441226
"AT4G01250_WRKY22",-1.98720239725821,0.247026235445002,1.24184882447586,0.0890088349569993,-0.494968513382153
"AT5G09810_ACT7",-1.85777036756999,-0.609035607964629,0.199821279653197,0.528395567158913,0.655708572330591
"AT2G17740_VLG",-1.4952092144658,-0.807148336967135,0.0862438943736262,0.75138516133934,-0.00826996218611019
"AT2G19190_FRK1",-2.36554804015176,-0.311909889054589,0.522842125025207,0.661737501472645,0.174939356212824
"AT1G07920",-0.161909365984559,-1.68581177638733,-0.81999259610117,0.80095434575771,0.584120470749933
